Stanford,17,USC,3
Washington,21,Utah,7
USC,39,Washington State,36
Arizona,35,Oregon State,14
Stanford,38,Oregon,31
Washington,27,Arizona State,20
Colorado,38,UCLA,16
Washington State,28,Utah,24
Arizona State,52,Oregon State,24
Oregon,42,California,24
USC,24,Arizona,20
Colorado,28,Arizona State,21
Washington,31,UCLA,24
Washington State,56,Oregon State,37
Arizona,24,California,17
Utah,40,Stanford,21
Utah,42,Arizona,10
Oregon,30,Washington,27
UCLA,37,California,7
USC,31,Colorado,20
Stanford,20,Arizona State,13
Washington,27,Colorado,13
California,49,Oregon State,7
Washington State,34,Oregon,20
Utah,41,USC,28
UCLA,31,Arizona,30
Utah,41,UCLA,10
Oregon State,41,Colorado,34
Arizona State,38,USC,35
California,12,Washington,10
Washington State,41,Stanford,38
Arizona,44,Oregon,15
Arizona,42,Colorado,34
Arizona State,38,Utah,20
Oregon,42,UCLA,21
Washington,27,Stanford,23
USC,38,Oregon State,21
Washington State,19,California,13
Arizona State,31,UCLA,28
Washington State,31,Colorado,7
Utah,32,Oregon,25
Stanford,48,Oregon State,17
California,15,USC,14
Utah,30,Colorado,7
UCLA,34,USC,27
Washington,42,Oregon State,23
Oregon,31,Arizona State,29
Washington State,69,Arizona,28
Oregon,55,Oregon State,15
Washington,28,Washington State,15
Stanford,49,UCLA,42
Arizona State,41,Arizona,40
California,33,Colorado,21
Washington,10,Utah,3
Stanford,23,California,13
